name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_rate,ranking_per_event_B
Kilian Fischhuber,AUT,1204,,32477.5,48,128,43,37,15,6,9,410,502,683,726,560,0.7321428571428571,676.6145833333334
Dmitrii Sharafutdinov,RUS,53,,31592.5,58,140,47,35,11,8,3,429,554,839,984,618,0.6941747572815534,544.698275862069
Rustam Gelmanov,RUS,60,,30305.98,65,153,52,36,6,6,7,446,587,825,975,677,0.6587887740029542,466.2458461538462
Aleksey Rubtsov,RUS,79,178.0,25862.66,57,133,50,26,3,1,10,359,516,795,1021,589,0.6095076400679117,453.73087719298246
Tomoa Narasaki,JPN,2276,170.0,25393.0,45,109,38,26,6,15,3,324,433,669,748,481,0.6735966735966736,564.2888888888889
Sean Mccoll,CAN,1559,169.0,25285.14,70,143,50,23,2,6,6,395,541,731,898,642,0.6152647975077882,361.21628571428573
Kokoro Fujii,JPN,2272,176.0,24896.0,53,126,47,26,6,1,3,374,498,865,992,557,0.6714542190305206,469.7358490566038
Jan Hojer,GER,3422,188.0,24628.16,61,127,45,21,6,4,3,358,499,743,912,569,0.6291739894551845,403.74032786885243
Jernej Kruder,SLO,1124,179.0,24461.16,86,153,52,15,3,4,1,382,613,718,1057,698,0.5472779369627507,284.4320930232558
Guillaume Glairon Mondet,FRA,436,,24440.989999999998,57,129,50,22,3,5,1,346,493,610,814,573,0.6038394415357766,428.789298245614
Jongwon Chon,KOR,2052,177.0,21837.5,44,107,39,24,5,2,3,317,411,622,776,472,0.6716101694915254,496.3068181818182
Tsukuru Hori,JPN,2255,,21258.82,68,131,48,15,1,2,2,350,508,686,962,592,0.5912162162162162,312.62970588235294
Jakob Schubert,AUT,1214,176.0,19856.99,50,105,36,19,3,2,5,312,417,611,766,470,0.6638297872340425,397.13980000000004
Rei Sugimoto,JPN,2257,172.0,19099.5,49,108,44,15,2,1,2,297,422,721,854,481,0.6174636174636174,389.7857142857143
Yoshiyuki Ogata,JPN,2309,172.0,16815.66,42,88,31,15,3,3,4,260,356,605,694,394,0.6598984771573604,400.37285714285713
Gabriele Moroni,ITA,849,,13604.66,40,79,29,10,1,3,0,215,313,430,544,356,0.6039325842696629,340.1165
Jorg Verhoeven,NED,3577,,12408.5,44,82,30,8,0,1,5,200,305,406,558,372,0.5376344086021505,282.0113636363636
Jeremy Bonder,FRA,470,,10914.82,41,77,27,9,0,0,1,191,285,407,554,349,0.5472779369627507,266.2151219512195
