name,country,id,height,ranking_B,events_B,rounds_B,semis_B,finals_B,gold_B,silver_B,bronze_B,tops,zones,top_attempts,zone_attempts,boulders_attempted,top_rate,ranking_per_event_B
Akiyo Noguchi,JPN,2253,167.0,61120.0,85,242,83,74,21,18,18,809,970,1297,1515,1053,0.768281101614435,719.0588235294117
Anna Stöhr,AUT,1211,,44686.33,63,174,59,52,21,10,9,573,705,1009,1087,759,0.7549407114624506,709.3068253968254
Shauna Coxsey,GBR,636,164.0,35602.75,51,144,49,44,11,12,7,463,566,783,891,627,0.7384370015948963,698.093137254902
Miho Nonaka,JPN,2294,163.0,28668.0,46,126,45,35,3,11,9,395,497,727,839,550,0.7181818181818181,623.2173913043479
Alex Puccio,USA,1710,,22926.25,39,107,39,29,2,5,8,334,417,560,637,467,0.715203426124197,587.8525641025641
Melissa Le Neve,FRA,454,,22839.0,53,122,48,21,0,4,6,348,483,533,725,541,0.6432532347504621,430.92452830188677
Katharina Saurwein,AUT,1209,,22311.91,68,136,54,14,1,2,0,331,504,615,873,612,0.5408496732026143,328.1163235294118
Juliane Wurm,GER,2823,,21894.83,44,106,40,22,3,2,6,326,420,584,671,468,0.6965811965811965,497.60977272727274
Petra Klingler,SUI,3246,162.0,20804.41,64,125,47,14,2,0,0,304,483,577,851,564,0.5390070921985816,325.06890625
Fanny Gibert,FRA,469,165.0,19601.5,50,103,39,14,0,3,3,271,394,544,743,462,0.5865800865800865,392.03
Janja Garnbret,SLO,1147,164.0,18715.0,21,62,21,20,14,4,0,246,258,411,369,269,0.9144981412639405,891.1904761904761
Mina Markovic,SLO,1122,,14586.99,39,84,32,13,2,1,0,223,315,392,500,375,0.5946666666666667,374.0253846153846
Stasa Gejo,SRB,3840,175.0,12964.5,31,72,27,14,0,0,4,190,274,388,462,319,0.5956112852664577,418.2096774193548
Monika Retschy,GER,2013,,11853.5,48,85,33,4,0,1,0,182,322,312,539,388,0.4690721649484536,246.94791666666666
Sol Sa,KOR,2047,,11692.5,44,84,37,3,0,0,0,194,311,426,670,380,0.5105263157894737,265.7386363636364
Mélanie Sandoz,FRA,443,,11640.83,49,83,30,4,1,0,0,189,308,326,497,381,0.49606299212598426,237.56795918367348
Jain Kim,KOR,2035,,11454.5,29,65,24,12,1,1,4,172,233,346,464,289,0.5951557093425606,394.98275862068965
Alex Johnson,USA,4755,,11242.0,30,59,22,7,2,2,0,153,235,263,370,266,0.575187969924812,374.73333333333335
Natalia Grossman,USA,1803,162.0,10986.5,15,39,13,11,8,2,1,137,161,271,278,171,0.8011695906432749,732.4333333333333
Anne-Laure Chevrier,FRA,439,,10708.0,36,70,30,4,0,0,0,154,259,249,407,316,0.4873417721518987,297.44444444444446
Katja Debevec,SLO,1130,173.0,10139.16,35,68,25,8,0,0,0,140,253,278,504,307,0.4560260586319218,289.6902857142857
Chloe Caulier,BEL,316,166.0,9650.82,47,73,24,2,0,1,0,172,276,366,543,339,0.5073746312684366,205.33659574468084
Natalija Gros,SLO,1119,,9487.0,20,49,18,11,0,2,1,143,186,197,260,216,0.6620370370370371,474.35
Yulia Abramchuk,RUS,43,,9347.0,22,51,19,10,0,2,3,152,196,245,296,226,0.672566371681416,424.8636363636364
Vera Zijlstra,NED,3578,,9108.16,75,102,26,1,0,0,0,182,356,409,768,483,0.37681159420289856,121.44213333333333
Cecile Avezou,FRA,427,,9001.32,34,63,24,5,0,0,0,144,225,245,375,286,0.5034965034965035,264.74470588235295
Chloé Graftiaux,BEL,309,,8890.0,19,43,18,6,2,1,1,124,172,180,242,191,0.6492146596858639,467.89473684210526
Futaba Ito,JPN,2357,162.0,8633.0,21,48,20,7,0,0,0,124,184,276,383,213,0.5821596244131455,411.0952380952381
